,Title,WorldWideGross,Budget,ReleaseDate,Certificate,Runtime,Score,ScoreReviews,ImdbReviews,CriticReviews,MetaScore,Directors,Writers,Stars,Genres,Country,Locations,Companies
0,The Shawshank Redemption,28817291,25000000,"March 10, 1995 (Turkey)",13+,142,9.3,2500000,9,193,80,['Frank Darabont'],"['Stephen King', 'Frank Darabont']","['Tim Robbins', 'Morgan Freeman', 'Bob Gunton']",['Drama'],United States,"['127A Smithfield Road, Frederiksted, Virgin Islands']",['Castle Rock Entertainment']
1,The Godfather,246120986,6000000,October 1973 (Turkey),18+,175,9.2,1700000,4,269,100,['Francis Ford Coppola'],"['Mario Puzo', 'Francis Ford Coppola']","['Marlon Brando', 'Al Pacino', 'James Caan']","['Crime', 'Drama']",United States,"[""Forza d'Agrò, Messina, Sicily, Italy""]","['Paramount Pictures', 'Alfran Productions']"
2,The Godfather: Part II,48035783,13000000,"December 18, 1974 (United States)",18+,202,9.0,1200000,1,190,90,['Francis Ford Coppola'],"['Francis Ford Coppola', 'Mario Puzo']","['Al Pacino', 'Robert De Niro', 'Robert Duvall']","['Crime', 'Drama']",United States,"['Kaiser Estate, 4000 W Lake Blvd, Homewood, Lake Tahoe, California, USA']","['Paramount Pictures', 'The Coppola Company', 'American Zoetrope']"
3,The Dark Knight,1005973645,185000000,"July 25, 2008 (Turkey)",16+,152,9.0,2500000,7,433,84,['Christopher Nolan'],"['Writers', 'Jonathan Nolan', 'Christopher Nolan', 'David S. Goyer', '']","['Christian Bale', 'Heath Ledger', 'Aaron Eckhart']","['Action', 'Crime', 'Drama', 'Thriller']",United States,"['Chicago, Illinois, USA']","['Warner Bros.', 'Legendary Entertainment', 'Syncopy']"
4,12 Angry Men,955,350000,"April 1, 1960 (Turkey)",15+,96,9.0,739000,1,160,96,['Sidney Lumet'],['Reginald Rose'],"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam']","['Crime', 'Drama']",United States,"['New York County Courthouse - 60 Centre Street, New York City, New York, USA']",['Orion-Nova Productions']
5,Schindler's List,322161245,22000000,"March 4, 1994 (Turkey)",18+,195,8.9,1300000,2,170,94,['Steven Spielberg'],"['Thomas Keneally', 'Steven Zaillian']","['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley']","['Biography', 'Drama', 'History']",United States,"['Auschwitz-Birkenau Concentration Camp, Oswiecim, Malopolskie, Poland']","['Universal Pictures', 'Amblin Entertainment']"
6,The Lord of the Rings: The Return of the King,1146030912,94000000,"December 19, 2003 (Turkey)",16+,201,8.9,1700000,3,361,94,['Peter Jackson'],"['Writers', 'J.R.R. Tolkien', 'Fran Walsh', 'Philippa Boyens', '']","['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen']","['Action', 'Adventure', 'Drama', 'Fantasy']",New Zealand,"['Hinuera Valley, Matamata, Waikato, New Zealand']","['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']"
7,Pulp Fiction,213928762,8000000,"April 14, 1995 (Turkey)",18+,154,8.9,1900000,3,302,94,['Quentin Tarantino'],"['Quentin Tarantino', 'Roger Avary']","['John Travolta', 'Uma Thurman', 'Samuel L. Jackson']","['Crime', 'Drama']",United States,"['1435 Flower Street, Glendale, California, USA']","['Miramax', 'A Band Apart', 'Jersey Films']"
8,"Il buono, il brutto, il cattivo",25253751,1200000,"January 13, 1969 (Turkey)",15+,161,8.8,725000,1,148,90,['Sergio Leone'],"['Writers', 'Luciano Vincenzoni', 'Sergio Leone', 'Agenore Incrocci', '']","['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef']","['Adventure', 'Western']",Italy,"['Carazo, Burgos, Castilla y León, Spain']","['Produzioni Europee Associate (PEA)', 'Arturo González Producciones Cinematográficas', 'Constantin Film']"
9,The Lord of the Rings: The Fellowship of the Ring,897690072,93000000,"December 21, 2001 (Turkey)",13+,178,8.8,1800000,5,201,92,['Peter Jackson'],"['Writers', 'J.R.R. Tolkien', 'Fran Walsh', 'Philippa Boyens', '']","['Elijah Wood', 'Ian McKellen', 'Orlando Bloom']","['Action', 'Adventure', 'Drama', 'Fantasy']",New Zealand,"['Wellington, New Zealand']","['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']"
10,Fight Club,101209702,63000000,"December 10, 1999 (Turkey)",18+,139,8.8,2000000,4,384,66,['David Fincher'],"['Chuck Palahniuk', 'Jim Uhls']","['Brad Pitt', 'Edward Norton', 'Meat Loaf']",['Drama'],Germany,"['240 North Neptune Avenue, Los Angeles, California, USA']","['Fox 2000 Pictures', 'New Regency Productions', 'Linson Films']"
11,Forrest Gump,678226133,55000000,"November 11, 1994 (Turkey)",7+,142,8.8,1900000,2,171,82,['Robert Zemeckis'],"['Winston Groom', 'Eric Roth']","['Tom Hanks', 'Robin Wright', 'Gary Sinise']","['Drama', 'Romance']",United States,"['Chippewa Square, Savannah, Georgia, USA']","['Paramount Pictures', 'The Steve Tisch Company', 'Wendy Finerman Productions']"
12,Inception,836836967,160000000,"July 30, 2010 (Turkey)",13+,148,8.8,2200000,4,485,74,['Christopher Nolan'],['Christopher Nolan'],"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page']","['Action', 'Adventure', 'Sci-Fi', 'Thriller']",United Kingdom,"['Fortress Mountain, Kananaskis Country, Alberta, Canada']","['Warner Bros.', 'Legendary Entertainment', 'Syncopy']"
13,The Lord of the Rings: The Two Towers,947495095,94000000,"December 20, 2002 (Turkey)",16+,179,8.7,1600000,2,328,87,['Peter Jackson'],"['Writers', 'J.R.R. Tolkien', 'Fran Walsh', 'Philippa Boyens', '']","['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen']","['Action', 'Adventure', 'Drama', 'Fantasy']",New Zealand,"['Hinuera Valley, Matamata, Waikato, New Zealand']","['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']"
14,Star Wars: Episode V - The Empire Strikes Back,538375067,18000000,"January 5, 1983 (Turkey)",7+,124,8.7,1200000,1,238,82,['Irvin Kershner'],"['Leigh Brackett', 'Lawrence Kasdan', 'George Lucas']","['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']","['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",United States,"['Hardangerjøkulen Glacier, Finse, Norway']",['Lucasfilm']
